name,role,company,linkedin_url,personalization_hook,hook_explanation,connection_message
Jeyandran Venugopal,President & CEO,Reliance Retail Ventures Ltd,https://www.linkedin.com/in/jeyandran,"Joined Reliance Retail as President & CEO in December 2025, coming from Flipkart where he was CPTO, to accelerate omnichannel growth and lead the company toward a landmark IPO targeted for 2027/28.","Venugopal is fresh in the role (December 2025) and the IPO preparation context is a highly specific, timely hook.","Hi Jeyandran, I follow India's retail space closely and your work at Reliance Retail caught my attention. Would love to connect and stay in touch."
P. Venkatesalu,Managing Director & CEO,"Trent Limited (Tata Group — Westside, Zudio)",https://www.linkedin.com/in/venkatesalu-p-53882b15,"Elevated to MD in October 2024 after 15+ years at Trent, overseeing Zudio's explosive expansion to 601 stores by December 2024 — one of India's fastest-scaling value fashion formats.",Zudio's aggressive store rollout and Venkatesalu's public statement about transformation make this a highly credible hook.,"Hi Venkatesalu, Trent's growth story under your leadership is inspiring. I'd love to connect and follow the journey ahead."
Anchit Nayar,"Executive Director & CEO, Beauty E-Commerce",Nykaa (FSN E-Commerce Ventures),https://www.linkedin.com/in/anchit-nayar-168aa320,"Nykaa entered a 55:45 joint venture with Apparel Group in 2024 to launch Nysaa in the Gulf, marking Nykaa Beauty's first major international expansion.",The Gulf JV and internal restructuring for fashion eCommerce are specific 2024 moves.,"Hi Anchit, I admire what Nykaa has built in India's beauty and fashion space. Would love to connect and exchange ideas."
Kalyan Krishnamurthy,Chief Executive Officer,Flipkart,https://www.linkedin.com/in/kalyankrishnamurthy,"Flipkart has increased its AI investment six-fold in 2025, and the company's domicile shift from Singapore to India is the first major step toward an India IPO with draft papers expected in 2026.",The six-fold AI investment and concrete IPO filing timeline are highly specific public statements by Krishnamurthy himself.,"Hi Kalyan, Flipkart's evolution under your leadership has been remarkable to follow. Would love to connect and stay updated."
Anshul Asawa,CEO Designate (incoming MD & CEO),Avenue Supermarts (DMart),https://www.linkedin.com/in/anshul-asawa,"Appointed CEO Designate in January 2025 after a 30-year career at Unilever — where he led digitisation of HUL's sales and distribution — stepping into DMart's lean, tech-light operation.",Asawa is new to DMart and arrives with a strong digital/distribution transformation background from HUL.,"Hi Anshul, your transition to DMart is a fascinating leadership move. Would love to connect and follow your vision for the company."
Peyush Bansal,Co-Founder & CEO,Lenskart,https://www.linkedin.com/in/peyushbansal,"Lenskart filed its DRHP for a ~7,278 crore IPO in 2025, turned profitable, and acquired an 80% stake in Spanish eyewear brand Meller for over 40 million euros.","Lenskart's simultaneous IPO preparation, European acquisition, and multi-country manufacturing scale-up create highly specific entry points.","Hi Peyush, Lenskart's journey from startup to global eyewear brand is truly inspiring. Would love to connect and keep in touch."
Vishak Kumar,Deputy Managing Director & CEO,Aditya Birla Lifestyle Brands Limited (demerged from ABFRL),https://www.linkedin.com/in/vishak-kumar-4a3810196,"As of May 2025, took charge as CEO of the newly demerged ABLBL — housing Louis Philippe, Van Heusen, Allen Solly, Peter England — with a goal to double the business and triple cash profits.",Kumar is leading a brand-new listed entity with aggressive growth targets after the demerger.,"Hi Vishak, the new chapter at ABLBL looks exciting. Would love to connect and follow the progress."
Vidit Aatrey,"Founder, Chairman, Managing Director & CEO",Meesho,https://www.linkedin.com/in/vidit-aatrey-a3639120,"Meesho listed on NSE/BSE in December 2025, India's first major e-commerce IPO — shares surged 95%. In March 2026, stated 'AI will bridge the online-offline divide in India commerce.'",Aatrey's very recent AI commerce statement plus specific ML/AI talent budget makes this an extremely timely hook.,"Hi Vidit, Meesho's impact on India's commerce landscape is impressive. Would love to connect and exchange perspectives."
Supam Maheshwari,"Co-Founder, Managing Director & CEO",FirstCry (Brainbees Solutions Limited),https://www.linkedin.com/in/supam-maheshwari-a735a5,"FirstCry completed its IPO listing on August 13, 2024 (subscribed 12.2x), becoming one of India's few profitable new-age listed retailers.",The strong IPO debut and subsequent operational complexity create a nuanced hook for post-IPO governance solutions.,"Hi Supam, FirstCry's growth as a profitable retailer is a standout story. Would love to connect and learn from your experience."
Kavindra Mishra,Managing Director & CEO,Shoppers Stop,https://www.linkedin.com/in/kavindra-mishra-b237974,The 'India Weds with Shoppers Stop' wedding campaign generated 100 crore in its first run (Nov-Dec 2024) and 170 crore in a second phase in early 2025.,The wedding commerce vertical generating 270 crore across two runs opens conversations around experiential retail.,"Hi Kavindra, Shoppers Stop's transformation under your leadership is impressive. Would love to connect and exchange ideas."
Albinder Dhindsa,"Group CEO, Eternal (formerly Zomato); Founder, Blinkit",Blinkit / Eternal Limited,https://www.linkedin.com/in/adhindsa,"In January 2026, Albinder was elevated from Blinkit Founder & CEO to Group CEO of Eternal Limited (parent of Zomato & Blinkit), replacing Deepinder Goyal.",Major leadership transition — he now runs all of Eternal (Zomato + Blinkit + more).,"Hi Albinder, what you've built with Blinkit and now Eternal is remarkable. Would love to connect and stay in touch."
Aadit Palicha,Co-Founder & CEO,Zepto,https://www.linkedin.com/in/aadit-palicha,Zepto raised $450M at a $7B valuation in Oct 2025 and confidentially filed its DRHP with SEBI for a ~$1.3B IPO targeting mid-2026.,Massive funding round and imminent IPO make this extremely timely.,"Hi Aadit, Zepto's growth in quick-commerce has been incredible to watch. Would love to connect and follow the journey."
Nandita Sinha,CEO,Myntra,https://www.linkedin.com/in/nandita-sinha-3020275,"Under Nandita's leadership, Myntra hit Rs 550 crore profit and Rs 6,000 crore revenue in FY25, reached 70M monthly active users.",Strong profitability milestones plus international expansion to Singapore.,"Hi Nandita, Myntra's growth under your leadership is inspiring. Would love to connect and learn from your approach."
Vineeta Singh,Co-Founder & CEO,SUGAR Cosmetics,https://www.linkedin.com/in/vineetasingh,"SUGAR Cosmetics raised a Series D round in Aug 2025, bringing total funding to $96.3M. The brand has expanded to 100+ cities across India.",Series D funding and omnichannel expansion show growth trajectory.,"Hi Vineeta, SUGAR's journey in the D2C beauty space is inspiring. Would love to connect and exchange ideas."
Aman Gupta,Co-Founder,boAt Lifestyle / OffBeat Studios,https://www.linkedin.com/in/aman-gupta-7217a515,"After stepping down as CMO of boAt ahead of its Rs 1,500 Cr IPO filing in late 2025, Aman launched his new venture OffBeat Studios.",The transition from boAt to a new venture is a compelling conversation hook.,"Hi Aman, your entrepreneurial journey from boAt to OffBeat Studios is inspiring. Would love to connect and stay in touch."
